pl_name,hostname,tic_id,st_mass,st_masserr1,st_masserr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
Kepler-334 d,Kepler-334,TIC 158394479,1.022,0.0235,-0.0235,12.834,0.069,-0.069,11.409,0.013,-0.013,0.168,,,0.0,,
Kepler-251 d,Kepler-251,TIC 272489533,0.891,0.019,-0.027,15.541,0.275,-0.275,13.632,0.042,-0.042,0.182,,,0.0,,
Kepler-729 b,Kepler-729,TIC 158269049,0.94,0.04,-0.056,15.567,0.16,-0.16,14.086,0.06,-0.06,0.0432,,,0.0,,
Kepler-687 b,Kepler-687,TIC 121988890,0.77,0.036,-0.039,15.695,0.343,-0.343,13.216,0.034,-0.034,0.1326,,,0.0,,
Kepler-119 b,Kepler-119,TIC 271964647,0.918,0.034,-0.034,14.375,0.08,-0.08,12.58,0.021,-0.021,0.035,,,0.0,,
Kepler-1115 b,Kepler-1115,TIC 138960099,1.6,0.096,-0.1,11.983,0.034,-0.034,11.512,0.021,-0.021,0.2134,,,0.0,,
Kepler-1073 b,Kepler-1073,TIC 138568416,1.0,0.095,-0.066,14.749,0.08,-0.08,12.924,0.032,-0.032,0.0805,,,0.0,,
HD 16175 b,HD 16175,TIC 422922274,1.63,0.14,-0.14,7.297,0.023,-0.023,5.853,0.021,-0.021,2.12,0.07,-0.07,0.6,0.11,-0.11
Kepler-405 b,Kepler-405,TIC 137150544,0.873,0.026,-0.021,16.181,0.389,-0.389,14.056,0.067,-0.067,0.095,,,0.0,,
KIC 10001893 c,KIC 10001893,TIC 158488181,0.47,0.03,-0.03,15.829,0.15,-0.15,16.612,,,,,,,,
Kepler-899 b,Kepler-899,TIC 169557750,0.93,0.083,-0.065,15.713,0.217,-0.217,13.615,0.04,-0.04,0.1392,,,0.0,,
Kepler-1255 b,Kepler-1255,TIC 271538318,1.08,0.097,-0.086,15.308,0.069,-0.069,13.692,0.045,-0.045,0.2226,,,0.0,,
KELT-23 A b,KELT-23 A,TIC 458478250,0.944,0.06,-0.054,10.308,0.005,-0.005,8.904,,,0.03302,0.00068,-0.00064,0.0,,
Kepler-1447 b,Kepler-1447,TIC 416281317,0.97,0.05,-0.059,14.747,0.08,-0.08,13.124,0.031,-0.031,0.2836,,,0.0,,
TOI-220 b,TOI-220,TIC 150098860,0.825,0.028,-0.028,10.466,0.007,-0.007,8.542,0.025,-0.025,0.08911,0.001,-0.001,0.032,0.038,-0.023
HD 23472 d,HD 23472,TIC 425997655,0.67,0.03,-0.03,9.73,0.03,-0.03,7.207,0.023,-0.023,0.04298,0.00063,-0.00065,0.07,0.05,-0.047
HD 215497 c,HD 215497,TIC 469943599,0.92,0.05,-0.05,8.96,0.03,-0.03,6.784,0.024,-0.024,1.31,0.02,-0.02,0.47,0.03,-0.04
TOI-5726.01,TOI-5726,TIC 71582156,1.06,0.13,-0.13,9.736,0.002,-0.002,8.23,0.016,-0.016,0.062186,0.002454,-0.002668,,,
GJ 338 B b,GJ 338 B,TIC 251078597,0.64,0.07,-0.07,7.7,0.1,-0.1,4.136,0.02,-0.02,0.142,0.005,-0.005,0.109,0.1,-0.075
TOI-2285 b,TOI-2285,TIC 329148988,0.454,0.01,-0.01,13.403,0.092,-0.092,9.034,0.022,-0.022,0.1363,0.001,-0.001,0.3,0.1,-0.09
Kepler-659 b,Kepler-659,TIC 158489787,0.79,0.034,-0.041,15.758,0.103,-0.103,13.353,0.026,-0.026,0.1204,,,0.0,,
TOI-411 c,HD 22946,TIC 100990000,1.098,0.04,-0.039,8.270001,0.03,-0.03,6.981,0.029,-0.029,0.1017,0.0015,-0.0014,0.16,0.17,-0.1
Kepler-1118 b,Kepler-1118,TIC 239238425,0.96,0.106,-0.077,15.238,0.137,-0.137,13.04,0.031,-0.031,0.2079,,,0.0,,
Kepler-133 c,Kepler-133,TIC 28089143,1.02,0.052,-0.052,12.896,0.069,-0.069,11.32,0.016,-0.016,0.204,,,0.0,,
Kepler-620 b,Kepler-620,TIC 350737935,1.15,0.15,-0.082,14.844,0.024,-0.024,13.284,0.04,-0.04,0.1053,,,0.0,,
Kepler-92 b,Kepler-92,TIC 121943724,1.21,0.08,-0.08,11.671,0.022,-0.022,10.403,0.018,-0.018,0.12232,0.00189,-0.00189,0.17,0.1,-0.17
HAT-P-51 b,HAT-P-51,TIC 61205803,0.961,0.04,-0.036,13.51,0.103,-0.103,11.614,0.02,-0.02,0.05042,0.00068,-0.00065,0.07,,
Kepler-179 b,Kepler-179,TIC 268057162,0.893,0.013,-0.024,14.772,0.092,-0.092,12.75,0.026,-0.026,0.036,,,0.0,,
Kepler-166 b,Kepler-166,TIC 26814955,0.811,0.025,-0.03,14.857,0.126,-0.126,12.876,0.032,-0.032,0.072,,,0.0,,
Kepler-595 c,Kepler-595,TIC 27231753,0.93,0.059,-0.059,15.067,0.126,-0.126,12.862,0.029,-0.029,0.0983,,,0.0,,
Kepler-28 c,Kepler-28,TIC 63122956,0.684,0.026,-0.026,15.13,0.057,-0.057,12.719,0.028,-0.028,0.07519,0.00048,-0.00048,0.017,0.023,-0.014
Kepler-210 b,Kepler-210,TIC 63283780,0.77,0.017,-0.019,14.126,0.137,-0.137,11.313,0.016,-0.016,0.032,,,0.0,,
Kepler-782 b,Kepler-782,TIC 158839841,0.98,0.051,-0.052,12.843,0.092,-0.092,11.325,0.013,-0.013,0.54494,0.0031,-0.0031,0.0,,
Kepler-414 c,Kepler-414,TIC 28357724,0.89,,,13.378,0.24,-0.24,11.698,0.02,-0.02,0.07195,0.00041,-0.00041,0.0,,
Kepler-238 f,Kepler-238,TIC 121460918,1.06,0.17,-0.12,15.297,0.035,-0.035,13.512,0.039,-0.039,0.28635,0.00381,-0.00381,0.0,,
Kepler-664 b,Kepler-664,TIC 299033092,1.01,0.062,-0.05,15.663,0.275,-0.275,13.952,0.047,-0.047,0.0374,,,0.0,,
Kepler-1123 b,Kepler-1123,TIC 27188610,0.93,0.04,-0.044,14.933,0.08,-0.08,13.105,0.035,-0.035,0.0497,,,0.0,,
Kepler-1098 b,Kepler-1098,TIC 271763415,0.99,0.096,-0.073,14.886,0.092,-0.092,13.07,0.033,-0.033,0.0358,,,0.0,,
HAT-P-49 b,HAT-P-49,TIC 99224131,2.22,0.83,-0.83,10.205,0.006,-0.006,9.346,0.017,-0.017,0.04378,0.00048,-0.00049,0.0,,
XO-4 b,XO-4,TIC 51234631,1.1,0.22,-0.22,10.814,0.008,-0.008,9.406,0.023,-0.023,0.05524,0.00027,-0.00028,0.0,,
Kepler-1084 b,Kepler-1084,TIC 267749737,1.12,0.075,-0.063,12.015,0.034,-0.034,10.836,0.018,-0.018,0.0324,,,0.0,,
Kepler-520 b,Kepler-520,TIC 138097531,1.1,0.036,-0.043,12.798,0.092,-0.092,11.488,0.02,-0.02,0.14628,0.00196,-0.00196,0.0,,
nu Oph b,nu Oph,TIC 9815387,2.61,0.32,-0.57,3.31216,0.023,-0.023,1.225,0.306,-0.306,1.765,0.0,0.0,0.126,0.003,-0.004
Kepler-1895 b,Kepler-1895,TIC 26493559,0.86,0.049,-0.085,15.787,0.195,-0.195,13.441,0.044,-0.044,0.0615,,,0.0,,
pi Men c,HD 39091,TIC 261136679,1.07,0.04,-0.04,5.65,0.03,-0.03,4.241,0.027,-0.027,0.06839,0.0005,-0.0005,0.0,,
Kepler-1669 b,Kepler-1669,TIC 169457234,0.67,,,16.473,0.343,-0.343,13.2,0.034,-0.034,0.0745,,,0.0,,
Kepler-339 d,Kepler-339,TIC 26817284,0.87,0.01,-0.012,14.706,0.149,-0.149,12.874,0.031,-0.031,0.091,,,0.0,,
Kepler-351 d,Kepler-351,TIC 158218178,0.81,0.047,-0.063,16.229,0.035,-0.035,14.097,0.063,-0.063,0.5177,,,0.0,,
HAT-P-29 b,HAT-P-29,TIC 250707118,1.45,0.6,-0.6,11.825,0.021,-0.021,10.297,0.02,-0.02,0.0667,0.0008,-0.0008,0.09,0.05,-0.05
WASP-12 b,WASP-12,TIC 86396382,1.325,0.026,-0.018,11.569,0.023,-0.023,10.188,0.02,-0.02,0.0234,0.001,-0.001,0.0447,0.0043,-0.0043
WASP-54 b,WASP-54,TIC 61098812,1.08,0.38,-0.38,10.413,0.008,-0.008,9.035,0.023,-0.023,0.04988,0.00043,-0.00045,0.07,0.03,-0.03
WASP-88 b,WASP-88,TIC 100566492,0.94,0.42,-0.42,11.388,0.018,-0.018,10.322,0.019,-0.019,0.06431,0.00065,-0.00062,0.0,,
WASP-100 b,WASP-100,TIC 38846515,0.77,0.42,-0.42,10.798,0.009,-0.009,9.669,0.024,-0.024,0.04574,0.00093,-0.001,0.0,,
WASP-26 b,WASP-26,TIC 32487566,0.86,0.34,-0.34,11.297,0.012,-0.012,9.69,0.023,-0.023,0.04,0.0003,-0.0003,0.0,,
WASP-178 b,WASP-178,TIC 160708862,2.07,0.11,-0.11,9.946,0.005,-0.005,9.703,0.021,-0.021,0.0558,0.001,-0.001,0.0,,
Kepler-1373 b,Kepler-1373,TIC 120627712,1.22,0.203,-0.115,14.328,0.092,-0.092,12.789,0.024,-0.024,0.02598,0.00034,-0.00034,0.0,,
Kepler-1104 b,Kepler-1104,TIC 27186509,1.3,0.061,-0.051,12.125,0.046,-0.046,10.971,0.016,-0.016,0.06321,0.00035,-0.00035,0.0,,
HD 240210 b,HD 240210,TIC 315415155,0.82,0.15,-0.15,8.270001,0.005,-0.005,4.388,0.021,-0.021,1.16,,,0.15,0.02,-0.02
CoRoT-5 b,CoRoT-5,TIC 234112540,1.0,0.02,-0.02,14.043,0.149,-0.149,12.546,0.026,-0.026,0.04947,0.00026,-0.00029,0.09,0.09,-0.04
TrES-3 b,TrES-3,TIC 116264089,0.928,0.028,-0.048,12.362,0.069,-0.069,10.608,0.017,-0.017,0.02282,0.00023,-0.0004,0.0,,
Kepler-51 d,Kepler-51,TIC 27846348,1.04,0.12,-0.12,14.885,0.126,-0.126,13.197,0.037,-0.037,0.509,0.02,-0.02,0.008,0.011,-0.008
HD 207832 c,HD 207832,TIC 53895723,0.94,0.1,-0.1,8.78,0.03,-0.03,7.207,0.017,-0.017,2.112,0.087,-0.045,0.27,0.22,-0.1
HAT-P-39 b,HAT-P-39,TIC 14770122,1.404,0.051,-0.51,12.282,0.08,-0.08,11.157,0.02,-0.02,0.0509,0.0006,-0.0006,0.0,,
Kepler-18 c,Kepler-18,TIC 273690178,0.972,0.042,-0.042,13.771,0.069,-0.069,11.756,0.019,-0.019,0.0752,0.0011,-0.0011,0.0,,
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,,0.73,0.35,-0.35,,,,,,,3.51,0.95,-1.12,,,
Kepler-452 b,Kepler-452,TIC 272174474,1.037,0.054,-0.047,13.54,0.08,-0.08,11.852,0.016,-0.016,1.046,0.019,-0.015,0.0,,
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,,0.21,0.14,-0.14,,,,,,,1.1,0.17,-0.17,,,
GJ 3998 b,GJ 3998,TIC 459558974,0.52,0.05,-0.05,10.844,0.008,-0.008,6.816,0.016,-0.016,0.03,0.001,-0.001,0.0,,
WASP-46 b,WASP-46,TIC 231663901,0.828,0.076,-0.076,13.043,0.069,-0.069,11.401,0.026,-0.026,0.02335,0.00072,-0.00072,0.0,,
WASP-79 b,WASP-79,TIC 170634116,1.39,0.06,-0.06,10.044,0.004,-0.004,9.056,0.023,-0.023,0.0519,0.0008,-0.0008,0.0,,
Kepler-46 c,Kepler-46,TIC 158992508,0.902,0.04,-0.038,15.312,0.114,-0.114,13.347,0.028,-0.028,0.2799,0.0041,-0.004,0.0146,0.0034,-0.0036
Kepler-1499 b,Kepler-1499,TIC 120105569,0.82,0.038,-0.043,13.676,0.114,-0.114,11.455,0.018,-0.018,0.23225,0.00169,-0.00169,0.0,,
OGLE-TR-111 b,OGLE-TR-111,TIC 465390152,0.82,0.02,-0.02,16.707,0.584,-0.584,14.112,0.082,-0.082,0.0473,0.0015,-0.0014,0.0,,
HAT-P-13 b,HAT-P-13,TIC 20096620,1.32,0.062,-0.062,10.421,0.008,-0.008,8.975,0.017,-0.017,0.04383,0.00068,-0.00068,0.0133,0.0041,-0.0041
HAT-P-13 c,HAT-P-13,TIC 20096620,1.32,0.062,-0.062,10.421,0.008,-0.008,8.975,0.017,-0.017,1.258,0.02,-0.02,0.6616,0.0054,-0.0054
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,,0.19,0.3,-0.12,,,,,,,1.8,0.9,-0.7,,,
Kepler-18 b,Kepler-18,TIC 273690178,0.972,0.042,-0.042,13.771,0.069,-0.069,11.756,0.019,-0.019,0.0447,0.0006,-0.0006,0.0,,
Kepler-18 d,Kepler-18,TIC 273690178,0.972,0.042,-0.042,13.771,0.069,-0.069,11.756,0.019,-0.019,0.1172,0.0017,-0.0017,0.0,,
Kepler-33 c,Kepler-33,TIC 158935283,1.291,0.063,-0.121,14.099,0.08,-0.08,12.591,0.022,-0.022,0.1189,0.0025,-0.0025,0.0,,
Kepler-32 c,Kepler-32,TIC 273590427,0.58,0.05,-0.05,16.36,0.549,-0.549,12.757,0.024,-0.024,0.09,,,0.0,,
Kepler-166 d,Kepler-166,TIC 26814955,0.88,0.04,-0.05,14.857,0.126,-0.126,12.876,0.032,-0.032,0.02449,0.00027,-0.00027,0.0,,
Kepler-844 b,Kepler-844,TIC 298836607,0.59,0.033,-0.037,15.986,0.252,-0.252,13.058,0.032,-0.032,0.0298,,,0.0,,
Kepler-327 b,Kepler-327,TIC 63366281,0.591913,0.020356,-0.020356,15.611,0.149,-0.149,11.956,0.022,-0.022,0.029,,,0.0,,
Kepler-33 b,Kepler-33,TIC 158935283,1.291,0.063,-0.121,14.099,0.08,-0.08,12.591,0.022,-0.022,0.0677,0.0014,-0.0014,0.0,,
Kepler-1455 b,Kepler-1455,TIC 27014562,0.62,0.028,-0.042,16.06,0.114,-0.114,12.922,0.032,-0.032,0.2149,0.0055,-0.0054,0.0,,
Kepler-353 b,Kepler-353,TIC 239229234,0.553,0.01,-0.01,16.126,1.133,-1.133,12.808,0.027,-0.027,0.051,,,0.0,,
WASP-10 b,WASP-10,TIC 431701493,0.75,0.04,-0.028,12.413,0.092,-0.092,9.983,0.018,-0.018,0.03781,0.00067,-0.00047,0.0473,0.0034,-0.0029
WASP-62 b,WASP-62,TIC 149603524,1.11,0.25,-0.25,10.213,0.005,-0.005,8.944,0.021,-0.021,0.0571,0.0005,-0.0005,0.0,,
WASP-136 b,WASP-136,TIC 176220787,1.41,0.07,-0.07,9.974,0.003,-0.003,8.805,0.024,-0.024,0.0661,0.0012,-0.0012,0.0,,
HD 109749 b,HD 109749,TIC 144289338,1.13,0.22,-0.22,8.08,0.03,-0.03,6.678,0.024,-0.024,0.0615,0.004,-0.004,0.0,,
HD 149143 b,HD 149143,TIC 281520119,1.2,0.2,-0.2,7.89,0.03,-0.03,6.434,0.026,-0.026,0.053,0.0029,-0.0029,0.0167,0.004,-0.004
HD 231701 b,HD 231701,TIC 92300251,1.21,0.34,-0.34,8.97,0.03,-0.03,7.657,0.026,-0.026,0.567,0.053,-0.053,0.13,0.032,-0.032
TOI-1683.01,TOI-1683,TIC 58542531,0.694661,,,10.97,0.03,-0.03,8.085,0.023,-0.023,0.036507593,,,,,
Kepler-213 b,Kepler-213,TIC 159521326,1.07,0.029,-0.028,13.705,0.126,-0.126,12.122,0.017,-0.017,0.036,,,0.0,,
V830 Tau b,V830 Tau,TIC 268397995,1.0,0.05,-0.05,12.23,0.114,-0.114,8.422,0.021,-0.021,0.057,0.001,-0.001,0.0,,
Kepler-52 b,Kepler-52,TIC 399825554,0.54,,,15.513,0.217,-0.217,12.36,0.027,-0.027,0.0637,0.00272,-0.00272,0.0,,
Kepler-166 c,Kepler-166,TIC 26814955,0.811,0.025,-0.03,14.857,0.126,-0.126,12.876,0.032,-0.032,0.195,,,0.0,,
GJ 1214 b,GJ 1214,TIC 467929202,0.182,0.0042,-0.0041,15.1,0.2,-0.2,8.782,0.02,-0.02,0.01505,0.00011,-0.00011,0.0062,0.0079,-0.0044
HD 143811 AB b,HD 143811 A,TIC 93869857,1.32,0.08,-0.08,8.91,0.03,-0.03,7.702,0.024,-0.024,63.0,30.0,-12.0,0.19,0.12,-0.12
GJ 3634 b,GJ 3634,TIC 49064384,0.45,0.05,-0.05,11.938,0.028,-0.028,7.47,0.027,-0.027,0.0287,0.001,-0.0011,0.08,0.094,-0.057
HAT-P-4 b,HAT-P-4,TIC 138294130,1.248,0.07,-0.12,11.118,0.01,-0.01,9.770001,0.02,-0.02,0.04438,0.00081,-0.0015,0.0,,
OGLE-TR-132 b,OGLE-TR-132,TIC 465144510,1.305,0.075,-0.067,16.536,1.133,-1.133,14.99,0.146,-0.146,0.03035,0.00057,-0.00053,0.6,,
OGLE-TR-56 b,OGLE-TR-56,TIC 1425441246,1.228,0.072,-0.078,15.3,,,,,,0.02383,0.00046,-0.00051,0.0,,
Kepler-55 b,Kepler-55,TIC 164884002,0.62,,,15.746,0.355,-0.355,13.289,0.049,-0.049,0.1593,,,0.0,,
HAT-P-18 b,HAT-P-18,TIC 21744120,0.77,0.031,-0.031,12.597,0.069,-0.069,10.234,0.017,-0.017,0.0559,0.0007,-0.0007,0.084,0.048,-0.048
Kepler-46 b,Kepler-46,TIC 158992508,0.902,0.04,-0.038,15.312,0.114,-0.114,13.347,0.028,-0.028,0.1968,0.0029,-0.0028,0.01,0.01,-0.01
WTS-1 b,WTS-1,TIC 138488806,1.2,0.1,-0.1,16.644,1.133,-1.133,15.271,0.199,-0.199,0.047,0.001,-0.001,0.1,,
HD 37605 b,HD 37605,TIC 144730053,0.94,0.15,-0.15,8.67,0.03,-0.03,6.815,0.021,-0.021,0.277,0.015,-0.015,0.6745,0.0019,-0.0019
HIP 14810 b,HIP 14810,TIC 113810736,1.01,0.19,-0.19,8.520001,0.03,-0.03,6.828,0.021,-0.021,0.0696,0.0044,-0.0044,0.14399,0.00087,-0.00087
HIP 14810 c,HIP 14810,TIC 113810736,1.01,0.19,-0.19,8.520001,0.03,-0.03,6.828,0.021,-0.021,0.549,0.034,-0.034,0.1566,0.0099,-0.0099
HD 17674 b,HD 17674,TIC 77490014,0.98,0.1,-0.1,7.535,0.019,-0.019,6.093,0.029,-0.029,1.42,0.04,-0.05,0.13,,
HD 20329 b,HD 20329,TIC 333657795,0.9,0.05,-0.05,8.76,0.012,-0.012,7.116,0.024,-0.024,0.018,0.0003,-0.0003,0.0,,
HD 135344 A b,HD 135344 A,TIC 307606851,2.32,0.319645,-0.340902,7.765,0.002,-0.002,7.563,0.023,-0.023,16.5,2.8,-2.0,0.5,0.2,-0.2
WASP-5 b,WASP-5,TIC 184240683,0.96,0.13,-0.09,12.147,0.046,-0.046,10.598,0.023,-0.023,0.0267,0.0012,-0.0008,0.038,0.026,-0.018
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,,0.1,0.09,-0.01,,,,,,,0.73,0.08,-0.08,,,
HAT-P-28 b,HAT-P-28,TIC 53728859,1.025,0.047,-0.047,13.098,0.114,-0.114,11.104,0.018,-0.018,0.0434,0.0007,-0.0007,0.051,0.033,-0.033
47 UMa b,47 UMa,TIC 21535479,1.06,0.128402,-0.137608,5.03352,0.023,-0.023,3.75,0.34,-0.34,2.1,0.02,-0.02,0.032,0.014,-0.014
47 UMa c,47 UMa,TIC 21535479,1.06,0.128402,-0.137608,5.03352,0.023,-0.023,3.75,0.34,-0.34,3.6,0.1,-0.1,0.098,0.047,-0.096
BD-08 2823 c,BD-08 2823,TIC 33355302,0.74,0.07,-0.07,9.86,0.03,-0.03,7.323,0.021,-0.021,0.68,0.02,-0.02,0.19,0.09,-0.09
HD 40307 b,HD 40307,TIC 374859347,0.77,0.05,-0.05,7.17,0.03,-0.03,4.793,0.016,-0.016,0.0468,0.0024,-0.0023,0.2,0.14,-0.16
HD 40307 f,HD 40307,TIC 374859347,0.77,0.05,-0.05,7.17,0.03,-0.03,4.793,0.016,-0.016,0.247,0.011,-0.014,0.02,0.2,-0.02
WASP-59 b,WASP-59,TIC 91051152,0.719,0.035,-0.035,12.659,0.057,-0.057,9.723,0.018,-0.018,0.0697,0.0011,-0.0011,0.1,0.042,-0.042
HD 190984 b,HD 190984,TIC 466222634,0.91,,,8.76,0.03,-0.03,7.319,0.016,-0.016,5.5,,,0.57,0.1,-0.1
HIP 14810 d,HIP 14810,TIC 113810736,1.01,0.19,-0.19,8.520001,0.03,-0.03,6.828,0.021,-0.021,1.94,0.13,-0.13,0.185,0.035,-0.035
HD 207832 b,HD 207832,TIC 53895723,1.05,0.17,-0.17,8.78,0.03,-0.03,7.207,0.017,-0.017,0.586,0.032,-0.032,0.197,0.053,-0.053
HD 1605 b,HD 1605,TIC 57983992,1.33,0.09,-0.09,7.52,0.03,-0.03,5.272,0.02,-0.02,1.492,0.038,-0.038,0.095,0.057,-0.057
USco1556 b,USco1556 A,TIC 77534376,0.33,0.07,-0.07,15.36,0.121,-0.121,10.441,0.023,-0.023,3500.0,40.0,-40.0,,,
Kepler-283 b,Kepler-283,TIC 270695184,0.596,0.015,-0.015,16.216,0.275,-0.275,13.139,0.03,-0.03,0.082,,,0.0,,
HD 33142 b,HD 33142,TIC 169397663,1.52,0.03,-0.03,7.96,0.03,-0.03,5.792,0.018,-0.018,1.074,0.007,-0.007,0.049,0.032,-0.03
CoRoT-6 b,CoRoT-6,TIC 130502317,1.05,0.05,-0.05,13.961,0.069,-0.069,12.119,0.024,-0.024,0.0855,0.0015,-0.0015,0.1,,
GQ Lup b,GQ Lup,TIC 442623945,0.7,,,11.593,0.137,-0.137,7.096,0.02,-0.02,100.0,,,,,
HD 110014 b,HD 110014,TIC 32448045,2.17,0.28,-0.28,4.64597,0.023,-0.023,2.011,0.312,-0.312,2.14,0.03,-0.03,0.462,0.069,-0.069
HD 103774 b,HD 103774,TIC 180205814,1.335,0.03,-0.03,7.13463,0.023,-0.023,6.0,0.02,-0.02,0.07,0.001,-0.001,0.09,0.04,-0.04
HD 109271 b,HD 109271,TIC 429301734,1.047,0.024,-0.024,8.04,0.03,-0.03,6.495,0.026,-0.026,0.079,0.001,-0.001,0.25,0.08,-0.08
HD 10647 b,HD 10647,TIC 229137615,1.11,0.02,-0.02,5.52,0.03,-0.03,4.34,0.276,-0.276,2.015,0.011,-0.011,0.15,0.08,-0.08
HD 1605 c,HD 1605,TIC 57983992,1.33,0.09,-0.09,7.52,0.03,-0.03,5.272,0.02,-0.02,3.584,0.099,-0.099,0.099,0.011,-0.011
HD 148164 b,HD 148164,TIC 323319664,1.21,0.24,-0.24,8.23,0.03,-0.03,6.906,0.021,-0.021,0.993,0.066,-0.066,0.587,0.026,-0.026
HD 211810 b,HD 211810,TIC 336634601,1.03,0.02,-0.02,8.59,0.03,-0.03,6.969,0.023,-0.023,2.656,0.043,-0.043,0.68,0.14,-0.14
Kepler-356 c,Kepler-356,TIC 137636895,1.163,0.031,-0.036,13.058,0.126,-0.126,11.704,0.021,-0.021,0.115,,,0.0,,
KOI-1833 d,Kepler-968,TIC 350814607,0.681,0.025,-0.024,14.626,0.126,-0.126,11.831,0.025,-0.025,0.0634,,,0.0,,
NY Vir b,NY Vir,TIC 175402069,0.459,0.01,-0.01,13.496,0.184,-0.184,14.635,0.095,-0.095,3.3,,,0.15,0.08,-0.08
KMT-2024-BLG-1044L b,KMT-2024-BLG-1044L,,0.069,0.08,-0.036,,,,,,,,,,,,
HIP 5158 b,HIP 5158,TIC 268634769,0.78,0.021,-0.021,10.16,0.03,-0.03,7.669,0.02,-0.02,0.89,,,0.52,0.08,-0.08
HD 134987 c,HD 134987,TIC 61397572,1.1,0.07,-0.04,6.47,0.03,-0.03,4.882,0.016,-0.016,5.8,0.5,-0.5,0.12,0.02,-0.02
KMT-2022-BLG-1790L b,KMT-2022-BLG-1790L,,0.58,0.32,-0.3,,,,,,,5.25,0.75,-1.04,,,
WASP-64 b,WASP-64,TIC 52640302,1.004,0.028,-0.028,12.704,0.069,-0.069,10.956,0.019,-0.019,0.02648,0.00024,-0.00024,0.0,,
PH1 b,PH1,TIC 170348142,1.528,0.087,-0.087,13.841,0.149,-0.149,12.395,0.021,-0.021,0.652,0.012,-0.012,0.0702,0.0029,-0.0039
Kepler-297 b,Kepler-297,TIC 48304302,0.927,0.025,-0.034,14.326,0.16,-0.16,12.78,0.031,-0.031,0.217,,,0.0,,
Kepler-160 d,Kepler-160,TIC 158555483,1.003,0.036,-0.034,14.816,0.16,-0.16,13.052,0.026,-0.026,0.17,0.1,-0.11,,,
HD 191939 c,HD 191939,TIC 269701147,0.81,0.04,-0.04,8.97,0.03,-0.03,7.18,0.021,-0.021,0.1752,0.0055,-0.005,0.034,0.034,-0.013
PSR B1257+12 b,PSR B1257+12,,1.4,,,,,,,,,0.19,,,0.0,,
PSR B1257+12 d,PSR B1257+12,,1.4,,,,,,,,,0.46,,,0.0264,0.0009,-0.0009
Kepler-1178 b,Kepler-1178,TIC 158729099,0.8,0.038,-0.045,14.212,0.126,-0.126,11.735,0.019,-0.019,0.1596,,,0.0,,
Kepler-805 b,Kepler-805,TIC 275573748,1.19,0.074,-0.039,12.586,0.069,-0.069,11.2,0.018,-0.018,0.19852,0.00196,-0.00196,0.0,,
Kepler-158 d,Kepler-158,TIC 120103325,0.656,0.073,-0.049,14.743,0.126,-0.126,12.057,0.021,-0.021,,,,,,
K2-368 d,K2-368,TIC 38136597,0.746,0.334,-0.232,13.581,0.126,-0.126,11.042,0.021,-0.021,,,,,,
HD 148156 b,HD 148156,TIC 225317852,1.22,,,7.69,0.03,-0.03,6.397,0.023,-0.023,2.45,0.04,-0.05,0.52,0.04,-0.09
HD 156411 b,HD 156411,TIC 412409409,1.25,,,6.67,0.03,-0.03,5.17,0.021,-0.021,1.88,0.03,-0.04,0.22,0.08,-0.08
HD 8535 b,HD 8535,TIC 41862035,1.13,,,7.7,0.03,-0.03,6.354,0.021,-0.021,2.45,0.04,-0.06,0.15,0.09,-0.05
Kepler-267 b,Kepler-267,TIC 269357457,0.541571,0.020592,-0.020592,16.69,0.2,-0.2,12.485,0.024,-0.024,0.037,,,0.0,,
XO-7 b,XO-7,TIC 268403451,1.405,0.059,-0.059,10.521,0.006,-0.006,9.241,0.024,-0.024,0.04421,0.00062,-0.00062,0.038,0.033,-0.033
HD 3167 e,HD 3167,TIC 318707987,0.837,0.053,-0.043,8.97,0.03,-0.03,7.066,0.02,-0.02,0.3885,0.0079,-0.0079,0.15,,
KELT-7 b,KELT-7,TIC 367366318,1.76,0.25,-0.25,8.56,0.03,-0.03,7.543,0.026,-0.026,0.04415,0.00062,-0.00052,0.0,,
Kepler-834 b,Kepler-834,TIC 158392088,0.7,0.034,-0.033,16.211,0.195,-0.195,13.484,0.037,-0.037,0.0862,,,0.0,,
Kepler-303 b,Kepler-303,TIC 164460208,0.575,0.016,-0.016,14.917,0.183,-0.183,11.596,0.019,-0.019,0.024,,,0.0,,
Kepler-125 b,Kepler-125,TIC 273873718,0.542101,0.020298,-0.020298,15.431,0.046,-0.046,11.682,0.019,-0.019,0.041,,,0.0,,
GJ 674 b,GJ 674,TIC 218263393,0.35,,,9.38,0.1,-0.1,4.855,0.018,-0.018,0.039,,,0.2,0.02,-0.02
HD 69830 d,HD 69830,TIC 307624961,0.86,0.03,-0.03,5.96004,0.023,-0.023,4.165,0.036,-0.036,0.63,,,0.07,0.07,-0.07
HD 93083 b,HD 93083,TIC 54237857,0.7,0.04,-0.04,8.3,0.03,-0.03,6.132,0.021,-0.021,0.477,,,0.14,0.03,-0.03
